month,run_date,list_size,gia_han_M90,CRR_M90_%,RRR_M90_%,Upsell_M90_%,renewal_revenue_M90,gia_han_vo_han
,,,,,,,,
2026-07,2026-07-01,628.0,72.0,11.5,13.9,112.8,824857375.0,72.0
2026-07,2026-07-03,628.0,76.0,12.1,14.7,112.6,875457375.0,76.0
2026-07,2026-07-04,628.0,78.0,12.4,14.9,112.3,888538575.0,78.0
2026-07,2026-07-06,628.0,78.0,12.4,14.9,112.3,888538575.0,78.0
2026-07,2026-07-07,628.0,82.0,13.1,15.4,111.7,917408575.0,82.0
2026-07,2026-07-08,829.0,91.0,11.0,14.2,117.4,1104972460.0,91.0
2026-07,2026-07-09,829.0,92.0,11.1,14.3,117.7,1113574885.0,92.0
2026-07,2026-07-11,829.0,96.0,11.6,14.9,116.9,1156234885.0,96.0
2026-07,2026-07-12,829.0,96.0,11.6,14.9,116.9,1156234885.0,96.0
2026-07,2026-07-13,829.0,101.0,12.2,15.6,118.0,1214064885.0,101.0
2026-07,2026-07-14,829.0,107.0,12.9,16.2,117.5,1258824885.0,107.0
2026-07,2026-07-15,829.0,107.0,12.9,16.2,117.5,1258824885.0,107.0
2026-07,2026-07-17,829.0,115.0,13.9,18.0,120.2,1396534885.0,115.0
2026-07,2026-07-18,829.0,125.0,15.1,19.2,119.6,1490639885.0,125.0
2026-07,2026-07-19,829.0,128.0,15.4,19.6,120.1,1523254885.0,128.0
2026-07,2026-07-21,829.0,135.0,16.3,20.5,120.1,1588454885.0,135.0
2026-07,2026-07-22,829.0,136.0,16.4,20.6,120.3,1596406010.0,136.0
2026-07,2026-07-23,829.0,140.0,16.9,20.9,119.7,1625111010.0,140.0
2026-07,2026-07-26,829.0,153.0,18.5,22.5,120.4,1744126010.0,153.0
2026-07,2026-07-27,829.0,159.0,19.2,23.4,120.0,1816926010.0,159.0
2026-07,2026-07-31,829.0,180.0,21.7,25.8,117.4,2007299810.0,180.0
2026-07,2026-08-03,829.0,200.0,24.1,28.1,118.0,2179107810.0,200.0
2026-08,2026-08-03,614.0,133.0,21.7,30.1,126.4,1789165945.0,133.0
2026-07,2026-08-05,829.0,203.0,24.5,28.3,117.6,2196006210.0,203.0
2026-08,2026-08-05,1053.0,110.0,10.4,15.7,124.3,1612902950.0,110.0
2026-07,2026-08-06,829.0,205.0,24.7,28.5,117.4,2211906210.0,205.0
2026-08,2026-08-06,1053.0,111.0,10.5,15.8,124.0,1621682950.0,111.0
2026-07,2026-08-07,829.0,208.0,25.1,28.9,117.3,2244319960.0,208.0
2026-08,2026-08-07,1053.0,111.0,10.5,15.8,124.0,1621682950.0,111.0
2026-07,2026-08-09,829.0,210.0,25.3,29.2,117.4,2268769960.0,210.0
2026-08,2026-08-09,1053.0,112.0,10.6,15.9,124.2,1630232950.0,112.0
2026-07,2026-08-11,829.0,211.0,25.5,29.4,117.7,2284669960.0,211.0
2026-08,2026-08-11,1053.0,114.0,10.8,16.2,123.7,1654912950.0,114.0
2026-07,2026-08-13,829.0,217.0,26.2,30.1,117.0,2339739960.0,217.0
2026-08,2026-08-13,1053.0,118.0,11.2,16.7,123.7,1714182950.0,118.0
